,Survived,Age_new,Child_new,Fare_new,Sex_new,Alone_new
83,0,1.0,0,3,0,1
84,1,0.0,0,1,1,1
85,1,2.0,0,2,1,0
86,0,0.0,0,3,0,0
87,0,2.0,0,1,0,1
88,1,1.0,0,3,1,0
89,0,1.0,0,1,0,1
90,0,1.0,0,1,0,1
91,0,0.0,0,0,0,1
92,0,3.0,0,3,0,0
93,0,1.0,0,2,0,0
94,0,3.0,0,0,0,1
95,0,2.0,0,1,0,1
96,0,3.0,0,3,0,1
97,1,1.0,0,3,0,0
98,1,2.0,0,2,1,0
99,0,2.0,0,2,0,0
100,0,1.0,0,0,1,1
101,0,2.0,0,0,0,1
102,0,0.0,0,3,0,0
103,0,2.0,0,1,0,1
104,0,3.0,0,1,0,0
105,0,1.0,0,0,0,1
106,1,0.0,0,0,1,1
107,1,2.0,0,0,0,1
108,0,3.0,0,0,0,1
109,1,1.0,0,2,1,0
110,0,3.0,0,3,0,1
111,0,0.0,0,2,1,0
112,0,1.0,0,1,0,1
113,0,0.0,0,1,1,0
114,0,0.0,0,2,1,1
115,0,0.0,0,1,0,1
116,0,3.0,0,0,0,1
117,0,1.0,0,2,0,0
118,0,1.0,0,3,0,0
119,0,0.0,1,3,1,0
120,0,0.0,0,3,0,0
121,0,2.0,0,1,0,1
122,0,2.0,0,2,0,0
123,1,2.0,0,1,1,1
124,0,3.0,0,3,0,0
125,1,0.0,0,1,0,0
126,0,2.0,0,0,0,1
127,1,1.0,0,0,0,1
128,1,1.0,0,2,1,0
129,0,3.0,0,0,0,1
130,0,2.0,0,0,0,1
131,0,0.0,0,0,0,1
132,0,3.0,0,2,1,0
133,1,1.0,0,2,1,0
134,0,1.0,0,1,0,1
135,0,1.0,0,2,0,1
136,1,0.0,0,2,1,0
137,0,3.0,0,3,0,0
138,0,0.0,0,1,0,1
139,0,1.0,0,3,0,1
140,0,3.0,0,2,1,0
141,1,1.0,0,0,1,1
142,1,1.0,0,2,1,0
143,0,0.0,0,0,0,1
144,0,0.0,0,1,0,1
145,0,0.0,0,3,0,0
146,1,1.0,0,0,0,1
147,0,0.0,1,3,1,0
148,0,3.0,0,2,0,0
149,0,3.0,0,1,0,1
150,0,3.0,0,1,0,1
151,1,1.0,0,3,1,0
152,0,3.0,0,1,0,1
153,0,3.0,0,2,0,0
154,0,2.0,0,0,0,1
155,0,3.0,0,3,0,0
156,1,0.0,0,0,1,1
157,0,2.0,0,1,0,1
158,0,2.0,0,1,0,1
159,0,0.0,1,3,0,0
160,0,3.0,0,2,0,0
161,1,3.0,0,2,1,1
162,0,1.0,0,0,0,1
163,0,0.0,0,1,0,1
164,0,0.0,1,3,0,0
165,1,0.0,1,2,0,0
166,1,3.0,0,3,1,0
167,0,3.0,0,2,1,0
168,0,2.0,0,2,0,1
169,0,1.0,0,3,0,1
170,0,3.0,0,3,0,1
171,0,0.0,1,2,0,0
172,1,0.0,1,1,1,0
173,0,0.0,0,1,0,1
174,0,3.0,0,2,0,1
175,0,0.0,0,0,0,0
176,0,0.0,1,2,0,0
177,0,3.0,0,2,1,1
178,0,2.0,0,1,0,1
179,0,3.0,0,0,0,1
180,0,1.0,0,3,1,0
181,0,2.0,0,2,0,1
182,0,0.0,1,3,0,0
183,1,0.0,1,3,0,0
184,1,0.0,1,2,1,0
185,0,2.0,0,3,0,1
186,1,3.0,0,2,1,0
187,1,3.0,0,2,0,1
188,0,3.0,0,2,0,0
189,0,3.0,0,0,0,1
190,1,2.0,0,1,1,1
191,0,0.0,0,1,0,1
192,1,0.0,0,0,1,0
193,1,0.0,1,2,0,0
194,1,3.0,0,2,1,1
195,1,3.0,0,3,1,1
196,0,2.0,0,0,0,1
197,0,3.0,0,1,0,0
198,1,1.0,0,0,1,1
199,0,1.0,0,1,1,1
200,0,1.0,0,1,0,1
201,0,2.0,0,3,0,0
202,0,2.0,0,0,0,1
203,0,3.0,0,0,0,1
204,1,0.0,0,1,0,1
205,0,0.0,1,1,1,0
206,0,2.0,0,2,0,0
207,1,1.0,0,2,0,1
208,1,0.0,0,0,1,1
209,1,3.0,0,3,0,1
210,0,1.0,0,0,0,1
211,1,2.0,0,2,1,1
212,0,1.0,0,0,0,1
213,0,2.0,0,1,0,1
214,0,2.0,0,0,0,0
215,1,2.0,0,3,1,0
216,1,1.0,0,1,1,1
217,0,3.0,0,2,0,0
218,1,2.0,0,3,1,1
219,0,2.0,0,1,0,1
220,1,0.0,0,1,0,1
221,0,1.0,0,1,0,1
222,0,3.0,0,1,0,1
223,0,2.0,0,0,0,1
224,1,3.0,0,3,0,0
225,0,1.0,0,1,0,1
226,1,0.0,0,1,0,1
227,0,0.0,0,0,0,1
228,0,0.0,0,1,0,1
229,0,1.0,0,2,1,0
230,1,2.0,0,3,1,0
231,0,1.0,0,0,0,1
232,0,3.0,0,1,0,1
233,1,0.0,1,3,1,0
234,0,1.0,0,1,0,1
235,0,1.0,0,0,1,1
236,0,3.0,0,2,0,0
237,1,0.0,1,2,1,0
238,0,0.0,0,1,0,1
239,0,2.0,0,1,0,1
240,0,1.0,0,2,1,0
241,1,1.0,0,2,1,0
242,0,1.0,0,1,0,1
243,0,1.0,0,0,0,1
244,0,2.0,0,0,0,1
245,0,3.0,0,3,0,0
246,0,1.0,0,0,1,1
247,1,1.0,0,2,1,0
248,1,3.0,0,3,0,0
249,0,3.0,0,2,0,0
250,0,2.0,0,0,0,1
251,0,1.0,0,1,1,0
252,0,3.0,0,2,0,1
253,0,2.0,0,2,0,0
254,0,3.0,0,2,1,0
255,1,1.0,0,2,1,0
256,1,3.0,0,3,1,1
257,1,2.0,0,3,1,1
258,1,2.0,0,0,1,1
259,1,3.0,0,2,1,0
260,0,2.0,0,0,0,1
261,1,0.0,1,3,0,0
262,0,3.0,0,3,0,0
263,0,3.0,0,0,0,1
264,0,1.0,0,0,1,1
265,0,3.0,0,1,0,1
266,0,0.0,0,3,0,0
267,1,1.0,0,0,0,0
268,1,3.0,0,3,1,0
269,1,2.0,0,3,1,1
270,0,2.0,0,3,0,1
271,1,1.0,0,0,0,1
272,1,3.0,0,2,1,0
273,0,3.0,0,2,0,0
274,1,1.0,0,0,1,1
275,1,3.0,0,3,1,0
276,0,3.0,0,0,1,1
277,0,2.0,0,0,0,1
278,0,0.0,1,2,0,0
279,1,2.0,0,2,1,0
280,0,3.0,0,0,0,1
281,0,1.0,0,0,0,1
282,0,0.0,0,1,0,1
283,1,0.0,0,1,0,1
284,0,2.0,0,2,0,1
285,0,2.0,0,1,0,1
286,1,2.0,0,1,0,1
287,0,1.0,0,0,0,1
288,1,3.0,0,1,0,1
289,1,1.0,0,0,1,1
290,1,1.0,0,3,1,1
291,1,0.0,0,3,1,0
292,0,3.0,0,1,0,1
293,0,1.0,0,1,1,1
294,0,1.0,0,0,0,1
295,0,2.0,0,2,0,1
296,0,1.0,0,0,0,1
297,0,0.0,1,3,1,0
298,1,2.0,0,2,0,1
299,1,3.0,0,3,1,0
300,1,1.0,0,0,1,1
301,1,2.0,0,2,0,0
302,0,0.0,0,0,0,1
303,1,1.0,0,1,1,1
304,0,2.0,0,1,0,1
305,1,0.0,1,3,0,0
306,1,1.0,0,3,1,1
307,1,0.0,0,3,1,0
308,0,2.0,0,2,0,0
309,1,2.0,0,3,1,1
310,1,1.0,0,3,1,1
311,1,0.0,0,3,1,0
312,0,1.0,0,2,1,0
313,0,1.0,0,0,0,1
314,0,3.0,0,2,0,0
315,1,1.0,0,0,1,1
316,1,1.0,0,2,1,0
317,0,3.0,0,1,0,1
318,1,2.0,0,3,1,0
319,1,3.0,0,3,1,0
320,0,1.0,0,0,0,1
321,0,1.0,0,0,0,1
322,1,2.0,0,1,1,1
323,1,1.0,0,2,1,0
324,0,2.0,0,3,0,0
325,1,3.0,0,3,1,1
326,0,3.0,0,0,0,1
327,1,3.0,0,1,1,1
328,1,2.0,0,2,1,0
329,1,0.0,0,3,1,0
330,1,1.0,0,2,1,0
331,0,3.0,0,2,0,1
332,0,3.0,0,3,0,0
333,0,0.0,0,2,0,0
334,1,3.0,0,3,1,0
335,0,2.0,0,0,0,1
336,0,1.0,0,3,0,0
337,1,3.0,0,3,1,1
338,1,3.0,0,1,0,1
339,0,3.0,0,3,0,1
340,1,0.0,1,2,0,0
341,1,1.0,0,3,1,0
342,0,1.0,0,1,0,1
343,0,1.0,0,1,0,1
344,0,3.0,0,1,0,1
345,1,1.0,0,1,1,1
346,1,3.0,0,1,1,1
347,1,3.0,0,2,1,0
348,1,0.0,1,2,0,0
349,0,3.0,0,1,0,1
350,0,1.0,0,1,0,1
351,0,2.0,0,3,0,1
352,0,0.0,0,0,0,0
353,0,1.0,0,2,0,0
354,0,2.0,0,0,0,1
355,0,1.0,0,1,0,1
356,1,1.0,0,3,1,0
357,0,3.0,0,1,1,1
358,1,1.0,0,0,1,1
359,1,1.0,0,0,1,1
360,0,3.0,0,2,0,0
361,0,1.0,0,2,0,0
362,0,3.0,0,2,1,0
363,0,2.0,0,0,0,1
364,0,2.0,0,2,0,0
365,0,2.0,0,0,0,1
366,1,3.0,0,3,1,0
367,1,3.0,0,0,1,1
368,1,1.0,0,0,1,1
369,1,1.0,0,3,1,1
370,1,1.0,0,3,0,0
371,0,0.0,0,0,0,0
372,0,0.0,0,1,0,1
373,0,1.0,0,3,0,1
374,0,0.0,1,2,1,0
375,1,3.0,0,3,1,0
376,1,1.0,0,0,1,1
377,0,1.0,0,3,0,0
378,0,0.0,0,0,0,1
379,0,0.0,0,0,0,1
380,1,3.0,0,3,1,1
381,1,0.0,1,2,1,0
382,0,2.0,0,1,0,1
383,1,2.0,0,3,1,0
384,0,2.0,0,0,0,1
385,0,0.0,0,3,0,1
386,0,0.0,1,3,0,0
387,1,3.0,0,1,1,1
388,0,2.0,0,0,0,1
389,1,0.0,0,1,1,1
390,1,3.0,0,3,0,0
391,1,0.0,0,0,0,1
392,0,1.0,0,1,0,0
393,1,1.0,0,3,1,0
394,1,1.0,0,2,1,0
395,0,1.0,0,0,0,1
396,0,2.0,0,0,1,1
397,0,3.0,0,2,0,1
398,0,1.0,0,1,0,1
399,1,1.0,0,1,1,1
400,1,3.0,0,1,0,1
401,0,1.0,0,1,0,1
402,0,0.0,0,1,1,0
403,0,1.0,0,2,0,0
404,0,0.0,0,1,1,1
405,0,2.0,0,2,0,0
406,0,3.0,0,0,0,1
407,1,0.0,1,2,0,0
408,0,0.0,0,0,0,1
409,0,1.0,0,2,1,0
410,0,2.0,0,0,0,1
411,0,2.0,0,0,0,1
412,1,2.0,0,3,1,0
413,0,2.0,0,0,0,1
414,1,3.0,0,1,0,1
415,0,3.0,0,1,1,1
416,1,2.0,0,3,1,0
417,1,0.0,0,1,1,0
418,0,2.0,0,1,0,1
419,0,0.0,1,2,1,0
420,0,2.0,0,0,0,1
421,0,0.0,0,0,0,1
422,0,1.0,0,0,0,1
423,0,1.0,0,1,1,0
424,0,0.0,0,2,0,0
425,0,2.0,0,0,0,1
426,1,1.0,0,2,1,0
427,1,0.0,0,2,1,1
428,0,2.0,0,0,0,1
429,1,2.0,0,1,0,1
430,1,1.0,0,2,0,1
431,1,3.0,0,2,1,0
432,1,3.0,0,2,1,0
433,0,0.0,0,0,0,1
434,0,3.0,0,3,0,0
435,1,0.0,0,3,1,0
436,0,0.0,0,3,1,0
437,1,1.0,0,2,1,0
438,0,3.0,0,3,0,0
439,0,2.0,0,1,0,1
440,1,3.0,0,2,1,0
441,0,0.0,0,1,0,1
442,0,1.0,0,0,0,0
443,1,1.0,0,1,1,1
444,1,2.0,0,1,0,1
445,1,0.0,1,3,0,0
446,1,0.0,0,2,1,0
447,1,2.0,0,2,0,1
448,1,0.0,1,2,1,0
449,1,3.0,0,2,0,1
450,0,3.0,0,2,0,0
451,0,2.0,0,2,0,0
452,0,2.0,0,2,0,1
453,1,3.0,0,3,0,0
454,0,2.0,0,1,0,1
455,1,1.0,0,0,0,1
456,0,3.0,0,2,0,1
457,1,3.0,0,3,1,0
458,1,3.0,0,1,1,1
459,0,2.0,0,0,0,1
460,1,3.0,0,2,0,1
461,0,2.0,0,1,0,1
462,0,3.0,0,3,0,1
463,0,3.0,0,1,0,1
464,0,2.0,0,1,0,1
465,0,3.0,0,0,0,1
466,0,2.0,0,0,0,1
467,0,3.0,0,2,0,1
468,0,2.0,0,0,0,1
469,1,0.0,1,2,1,0
470,0,2.0,0,0,0,1
471,0,3.0,0,1,0,1
472,1,2.0,0,2,1,0
473,1,1.0,0,1,1,1
474,0,1.0,0,1,1,1
475,0,2.0,0,3,0,1
476,0,2.0,0,2,0,0
477,0,1.0,0,0,0,0
478,0,1.0,0,0,0,1
479,1,0.0,1,1,1,0
480,0,0.0,1,3,0,0
481,0,2.0,0,0,0,1
482,0,3.0,0,1,0,1
483,1,3.0,0,1,1,1
484,1,1.0,0,3,0,0
485,0,1.0,0,2,1,0
486,1,2.0,0,3,1,0
487,0,3.0,0,2,0,1
488,0,2.0,0,1,0,1
489,1,0.0,1,2,0,0
490,0,2.0,0,2,0,0
491,0,0.0,0,0,0,1
492,0,3.0,0,2,0,1
493,0,3.0,0,3,0,1
494,0,0.0,0,1,0,1
495,0,2.0,0,2,0,1
496,1,3.0,0,3,1,0
497,0,2.0,0,2,0,1
498,0,1.0,0,3,1,0
499,0,1.0,0,0,0,1
500,0,0.0,0,1,0,1
501,0,0.0,0,0,1,1
502,0,1.0,0,0,1,1
503,0,3.0,0,1,1,1
504,1,0.0,0,3,1,1
505,0,0.0,0,3,0,0
506,1,2.0,0,2,1,0
507,1,2.0,0,2,0,1
508,0,1.0,0,2,0,1
509,1,1.0,0,3,0,1
510,1,1.0,0,0,0,1
511,0,2.0,0,1,0,1
512,1,3.0,0,2,0,1
513,1,3.0,0,3,1,0
514,0,1.0,0,0,0,1
515,0,3.0,0,3,0,1
516,1,2.0,0,1,1,1
517,0,2.0,0,2,0,1
518,1,3.0,0,2,1,0
519,0,2.0,0,0,0,1
520,1,2.0,0,3,1,1
521,0,1.0,0,0,0,1
522,0,2.0,0,0,0,1
523,1,3.0,0,3,1,0
524,0,2.0,0,0,0,1
525,0,3.0,0,0,0,1
526,1,3.0,0,1,1,1
527,0,2.0,0,3,0,1
528,0,3.0,0,1,0,1
529,0,1.0,0,1,0,0
530,1,0.0,1,2,1,0
531,0,2.0,0,0,0,1
532,0,0.0,0,0,0,0
533,1,3.0,0,2,1,0
534,0,2.0,0,1,1,1
535,1,0.0,1,2,1,0
536,0,3.0,0,2,0,1
537,1,2.0,0,3,1,1
538,0,2.0,0,2,0,1
539,1,1.0,0,3,1,0
540,1,3.0,0,3,1,0
541,0,0.0,1,3,1,0
542,0,0.0,0,3,1,0
543,1,2.0,0,2,0,0
544,0,3.0,0,3,0,0
545,0,3.0,0,2,0,1
546,1,0.0,0,2,1,0
547,1,2.0,0,1,0,1
548,0,2.0,0,2,0,0
549,1,0.0,1,3,0,0
550,1,0.0,0,3,0,0
551,0,1.0,0,2,0,1
552,0,2.0,0,0,0,1
553,1,1.0,0,0,0,1
554,1,1.0,0,0,1,1
555,0,3.0,0,2,0,1
556,1,3.0,0,3,1,0
557,0,2.0,0,3,0,1
558,1,3.0,0,3,1,0
559,1,3.0,0,2,1,0
560,0,2.0,0,0,0,1
561,0,3.0,0,0,0,1
562,0,1.0,0,1,0,1
563,0,2.0,0,1,0,1
564,0,1.0,0,1,1,1
565,0,1.0,0,2,0,0
566,0,0.0,0,0,0,1
567,0,1.0,0,2,1,0
568,0,2.0,0,0,0,1
569,1,2.0,0,0,0,1
570,1,3.0,0,1,0,1
571,1,3.0,0,3,1,0
572,1,3.0,0,2,0,1
573,1,1.0,0,0,1,1
574,0,0.0,0,1,0,1
575,0,0.0,0,2,0,1
576,1,2.0,0,1,1,1
577,1,3.0,0,3,1,0
578,0,3.0,0,2,1,0
579,1,2.0,0,1,0,1
580,1,1.0,0,2,1,0
581,1,3.0,0,3,1,0
582,0,3.0,0,2,0,1
583,0,3.0,0,3,0,1
584,0,2.0,0,1,0,1
585,1,0.0,0,3,1,0
586,0,3.0,0,2,0,1
587,1,3.0,0,3,0,0
588,0,1.0,0,1,0,1
589,0,2.0,0,1,0,1
590,0,2.0,0,0,0,1
591,1,3.0,0,3,1,0
592,0,3.0,0,0,0,1
593,0,1.0,0,0,1,0
594,0,3.0,0,2,0,0
595,0,3.0,0,2,0,0
596,1,1.0,0,3,1,1
597,0,3.0,0,0,0,1
598,0,2.0,0,0,0,1
599,1,3.0,0,3,0,0
600,1,1.0,0,2,1,0
601,0,2.0,0,0,0,1
602,0,2.0,0,3,0,1
603,0,3.0,0,1,0,1
604,1,2.0,0,2,0,1
605,0,3.0,0,2,0,0
606,0,2.0,0,0,0,1
607,1,1.0,0,2,0,1
608,1,1.0,0,3,1,0
609,1,3.0,0,3,1,1
610,0,3.0,0,3,1,0
611,0,2.0,0,0,0,1
612,1,1.0,0,2,1,0
613,0,2.0,0,0,0,1
614,0,2.0,0,1,0,1
615,1,1.0,0,3,1,0
616,0,2.0,0,1,0,0
617,0,1.0,0,2,1,0
618,1,0.0,1,3,1,0
619,0,1.0,0,1,0,1
620,0,1.0,0,2,0,0
621,1,3.0,0,3,0,0
622,1,0.0,0,2,0,0
623,0,0.0,0,0,0,1
624,0,0.0,0,2,0,1
625,0,3.0,0,3,0,1
626,0,3.0,0,1,0,1
627,1,0.0,0,3,1,1
628,0,1.0,0,0,0,1
629,0,2.0,0,0,0,1
630,1,3.0,0,2,0,1
631,0,3.0,0,0,0,1
632,1,2.0,0,2,0,1
633,0,2.0,0,0,0,1
634,0,0.0,1,2,1,0
635,1,1.0,0,1,1,1
636,0,2.0,0,1,0,1
637,0,2.0,0,2,0,0
638,0,3.0,0,3,1,0
639,0,2.0,0,2,0,0
640,0,0.0,0,0,0,1
641,1,1.0,0,3,1,1
642,0,0.0,1,2,1,0
643,1,2.0,0,3,0,1
644,1,0.0,1,2,1,0
645,1,3.0,0,3,0,0
646,0,0.0,0,0,0,1
647,1,3.0,0,3,0,1
648,0,2.0,0,0,0,1
649,1,1.0,0,0,1,1
650,0,2.0,0,0,0,1
651,1,0.0,0,2,1,0
652,0,0.0,0,1,0,1
653,1,1.0,0,0,1,1
654,0,0.0,0,0,1,1
655,0,1.0,0,3,0,0
656,0,2.0,0,0,0,1
657,0,2.0,0,2,1,0
658,0,1.0,0,1,0,1
659,0,3.0,0,3,0,0
660,1,3.0,0,3,0,0
661,0,3.0,0,0,0,1
662,0,3.0,0,2,0,1
663,0,3.0,0,0,0,1
664,1,0.0,0,1,0,0
665,0,2.0,0,3,0,0
666,0,1.0,0,1,0,1
667,0,2.0,0,0,0,1
668,0,3.0,0,1,0,1
669,1,3.0,0,3,1,0
670,1,3.0,0,3,1,0
671,0,2.0,0,3,0,0
672,0,3.0,0,1,0,1
673,1,2.0,0,1,0,1
674,0,2.0,0,0,0,1
675,0,0.0,0,0,0,1
676,0,1.0,0,1,0,1
677,1,0.0,0,1,1,1
678,0,3.0,0,3,1,0
679,1,3.0,0,0,0,0
680,0,1.0,0,1,1,1
681,1,1.0,0,3,0,1
682,0,0.0,0,1,0,1
683,0,0.0,0,3,0,0
684,0,3.0,0,3,0,0
685,0,1.0,0,3,0,0
686,0,0.0,0,3,0,0
687,0,0.0,0,1,0,1
688,0,0.0,0,0,0,1
689,1,0.0,0,3,1,0
690,1,2.0,0,3,0,0
691,1,0.0,1,1,1,0
692,1,2.0,0,3,0,1
693,0,1.0,0,0,0,1
694,0,3.0,0,2,0,1
695,0,3.0,0,1,0,1
696,0,3.0,0,1,0,1
697,1,1.0,0,0,1,1
698,0,3.0,0,3,0,0
699,0,3.0,0,0,0,1
700,1,0.0,0,3,1,0
701,1,2.0,0,2,0,1
702,0,0.0,0,2,1,0
703,0,1.0,0,0,0,1
704,0,1.0,0,0,0,0
705,0,3.0,0,2,0,1
706,1,3.0,0,1,1,1
707,1,3.0,0,2,0,1
708,1,1.0,0,3,1,1
709,1,0.0,1,2,0,0
710,1,1.0,0,3,1,1
711,0,2.0,0,2,0,1
712,1,3.0,0,3,0,0
713,0,1.0,0,1,0,1
714,0,3.0,0,1,0,1
715,0,0.0,0,0,0,1
716,1,3.0,0,3,1,1
717,1,1.0,0,1,1,1
718,0,2.0,0,2,0,1
719,0,2.0,0,0,0,1
720,1,0.0,1,3,1,0
721,0,0.0,0,0,0,0
722,0,2.0,0,1,0,1
723,0,3.0,0,1,0,1
724,1,1.0,0,3,0,0
725,0,0.0,0,1,0,1
726,1,2.0,0,2,1,0
727,1,1.0,0,0,1,1
728,0,1.0,0,2,0,0
729,0,1.0,0,1,1,0
730,1,1.0,0,3,1,1
731,0,0.0,0,2,0,1
732,0,2.0,0,0,0,1
733,0,1.0,0,1,0,1
734,0,1.0,0,1,0,1
735,0,1.0,0,2,0,1
736,0,3.0,0,3,1,0
737,1,2.0,0,0,0,1
738,0,2.0,0,0,0,1
739,0,2.0,0,0,0,1
740,1,2.0,0,2,0,1
741,0,3.0,0,3,0,0
742,1,0.0,0,3,1,0
743,0,1.0,0,2,0,0
744,1,2.0,0,1,0,1
745,0,3.0,0,3,0,0
746,0,0.0,0,2,0,0
747,1,2.0,0,1,1,1
748,0,0.0,0,3,0,0
749,0,2.0,0,0,0,1
750,1,0.0,1,2,1,0
751,1,0.0,1,1,0,0
752,0,2.0,0,1,0,1
753,0,1.0,0,0,0,1
754,1,3.0,0,3,1,0
755,1,0.0,1,2,0,0
756,0,1.0,0,0,0,1
757,0,0.0,0,1,0,1
758,0,2.0,0,1,0,1
759,1,2.0,0,3,1,1
760,0,2.0,0,2,0,1
761,0,3.0,0,0,0,1
762,1,0.0,0,0,0,1
763,1,3.0,0,3,1,0
764,0,0.0,0,0,0,1
765,1,3.0,0,3,1,0
766,0,2.0,0,3,0,1
767,0,2.0,0,0,1,1
768,0,2.0,0,2,0,0
769,0,2.0,0,1,0,1
770,0,1.0,0,1,0,1
771,0,3.0,0,0,0,1
772,0,3.0,0,1,1,1
773,0,2.0,0,0,0,1
774,1,3.0,0,2,1,0
775,0,0.0,0,0,0,1
776,0,2.0,0,0,0,1
777,1,0.0,1,1,1,1
778,0,2.0,0,0,0,1
779,1,3.0,0,3,1,0
780,1,0.0,0,0,1,1
781,1,0.0,0,3,1,0
782,0,1.0,0,2,0,1
783,0,2.0,0,2,0,0
784,0,1.0,0,0,0,1
785,0,1.0,0,0,0,1
786,1,0.0,0,0,1,1
787,0,0.0,1,2,0,0
788,1,0.0,1,2,0,0
789,0,3.0,0,3,0,1
790,0,2.0,0,0,0,1
791,0,0.0,0,2,0,1
792,0,1.0,0,3,1,0
793,0,2.0,0,2,0,1
794,0,1.0,0,0,0,1
795,0,3.0,0,1,0,1
796,1,3.0,0,2,1,1
797,1,2.0,0,1,1,1
798,0,2.0,0,0,0,1
799,0,2.0,0,2,1,0
800,0,2.0,0,1,0,1
801,1,2.0,0,2,1,0
802,1,0.0,0,3,0,0
803,1,0.0,1,1,0,0
804,1,1.0,0,0,0,1
805,0,2.0,0,0,0,1
806,0,3.0,0,0,0,1
807,0,0.0,0,0,1,1
808,0,3.0,0,1,0,1
809,1,2.0,0,3,1,0
810,0,1.0,0,0,0,1
811,0,3.0,0,2,0,1
812,0,2.0,0,1,0,1
813,0,0.0,1,3,1,0
814,0,2.0,0,1,0,1
815,0,2.0,0,0,0,1
816,0,1.0,0,1,1,1
817,0,2.0,0,3,0,0
818,0,3.0,0,0,0,1
819,0,0.0,1,2,0,0
820,1,3.0,0,3,1,0
821,1,1.0,0,1,0,1
822,0,3.0,0,0,0,1
823,1,1.0,0,1,1,0
824,0,0.0,1,3,0,0
825,0,2.0,0,0,0,1
826,0,2.0,0,3,0,1
827,1,0.0,1,3,0,0
828,1,2.0,0,0,0,1
829,1,3.0,0,3,1,1
830,1,0.0,0,2,1,0
831,1,0.0,1,2,0,0
832,0,2.0,0,0,0,1
833,0,1.0,0,0,0,1
834,0,0.0,0,1,0,1
835,1,3.0,0,3,1,0
836,0,0.0,0,1,0,1
837,0,2.0,0,1,0,1
838,1,2.0,0,3,0,1
839,1,2.0,0,2,0,1
840,0,0.0,0,1,0,1
841,0,0.0,0,1,0,1
842,1,2.0,0,3,1,1
843,0,2.0,0,0,0,1
844,0,0.0,0,1,0,1
845,0,3.0,0,0,0,1
846,0,2.0,0,3,0,0
847,0,2.0,0,0,0,1
848,0,1.0,0,3,0,0
849,1,3.0,0,3,1,0
850,0,0.0,1,3,0,0
851,0,3.0,0,0,0,1
852,0,0.0,1,2,1,0
853,1,0.0,0,3,1,0
854,0,3.0,0,2,1,0
855,1,0.0,0,1,1,0
856,1,3.0,0,3,1,0
857,1,3.0,0,2,0,1
858,1,1.0,0,2,1,0
859,0,2.0,0,0,0,1
860,0,3.0,0,1,0,0
861,0,0.0,0,1,0,0
862,1,3.0,0,2,1,1
863,0,1.0,0,3,1,0
864,0,1.0,0,1,0,1
865,1,3.0,0,1,1,1
866,1,1.0,0,1,1,0
867,0,2.0,0,3,0,1
868,0,2.0,0,1,0,1
869,1,0.0,1,1,0,0
